0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,1
0,104,0,0,0,0,102,0,0,0
0,0,0,1,0,0,0,0,1,0
104,0,104,0,0,0,0,0,0,0
0,0,0,0,0,0,0,102,0,0
0,0,0,104,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,104,0,0,0,0,0
1,0,0,0,0,0,0,102,0,0
0,0,0,0,0,104,0,1,0,0
0,105,0,0,102,0,0,0,0,1
103,0,0,0,0,0,104,0,0,0
0,0,105,0,4,0,0,0,0,0
0,0,0,0,0,0,0,104,5,0
0,0,0,105,0,105,0,0,0,0
0,0,0,0,0,0,0,0,104,0
0,0,105,0,0,2,0,0,0,1
0,0,0,103,103,0,103,105,0,104
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,2,0,0,104,0
103,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,104,102,0
0,1,0,0,2,0,0,0,0,0
102,0,0,0,0,0,104,0,0,2
0,0,0,2,0,0,0,0,1,103
103,0,105,0,0,104,0,0,0,103
0,0,0,0,0,0,0,105,1,103
0,0,0,0,104,0,0,0,0,0
0,105,0,0,0,0,0,0,0,102
0,0,0,104,0,0,0,105,0,0
102,0,0,2,0,0,0,0,1,103
0,0,104,102,0,105,0,0,0,103
0,0,0,0,0,2,0,0,0,0
0,104,2,0,0,0,0,105,0,0
0,0,0,105,0,0,0,2,1,0
104,0,0,0,0,0,0,0,0,0
0,0,0,0,105,0,105,0,0,0
0,1,0,1,0,0,0,0,1,0
