0,0,0,0,1,0,0,0,0,0
1,0,0,102,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,4,0,0,0,0,0,0
0,0,0,0,105,0,102,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,104,0,0,0,0,105,0,0
0,0,0,0,0,0,0,0,0,105
0,105,0,0,0,102,0,0,102,0
0,0,0,104,0,0,0,0,0,0
105,0,0,0,105,0,0,0,105,0
0,0,103,0,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0
0,105,0,0,0,105,0,105,0,0
0,0,0,0,0,0,0,1,0,105
0,0,0,0,0,0,0,0,0,0
105,0,0,0,105,0,0,0,105,0
0,0,0,0,0,0,0,0,0,0
0,103,0,0,0,0,0,3,0,0
0,0,0,105,0,105,0,0,105,0
0,0,0,2,0,0,0,0,2,103
105,4,0,0,0,0,0,105,0,0
102,0,0,0,0,0,0,0,0,0
0,0,105,0,0,0,0,0,105,0
2,0,0,0,104,0,105,0,0,2
0,0,105,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0
0,0,0,0,0,105,0,1,0,0
0,0,0,105,0,0,0,0,102,0
0,0,0,0,0,0,0,0,0,0
0,105,0,0,0,0,105,0,105,0
0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,105,0
0,0,105,0,105,0,105,0,0,0
105,0,0,0,0,0,0,0,105,2
0,0,0,105,0,0,0,0,0,0
0,105,0,0,0,105,0,105,0,0
0,0,0,0,0,0,0,0,0,1
